Ref_area;REF_AREA;date;obsValue
France;FRA;2001-07-01;119,5762568110272
Europe;EU27;2001-08-01;118,2072812444717
Italie;ITA;2001-08-01;113,2215599959997
États-Unis;USA;2001-08-01;150,8624374704625
Allemagne;DEU;2001-08-01;108,5603107290421
France;FRA;2001-08-01;122,7914749361090
Europe;EU27;2001-09-01;116,2464959150198
Italie;ITA;2001-09-01;111,1731814170394
États-Unis;USA;2001-09-01;150,2847046087479
Allemagne;DEU;2001-09-01;107,5226973073400
France;FRA;2001-09-01;120,3247378916986
Europe;EU27;2001-10-01;115,2661032502938
Italie;ITA;2001-10-01;110,2420683447873
États-Unis;USA;2001-10-01;149,6366377710295
Allemagne;DEU;2001-10-01;105,3177752696861
France;FRA;2001-10-01;120,5249355923097
Europe;EU27;2001-11-01;114,1456507904605
Italie;ITA;2001-11-01;108,1005258236061
États-Unis;USA;2001-11-01;149,0794605493605
Allemagne;DEU;2001-11-01;104,2801488810580
France;FRA;2001-11-01;118,0687465987917
Europe;EU27;2001-12-01;114,7058770203771
Italie;ITA;2001-12-01;108,9384749536374
États-Unis;USA;2001-12-01;149,3602404535650
